,index,condo_price,maint_fee,avg_income_household_yr,avg_income_individual_yr,total_sqft,price_per_sqft,toronto_region,bedrooms,bath,parking,age_of_building,commute_transit,commute_car,near_by_schools,near_by_grocery_stores,near_by_bars&restaurants,speak_English,speak_Europe_language,speak_Asian_language,speak_Africa_language,speak_middleEast_language,edu_no_diploma,edu_high_school,edu_trade_cert,edu_coll_or_univ_cert,edu_ba_or_msc_cert,population_0_14_years,population_15_19_years,population_20_34_years,population_35_49_years,population_50_64_years,population_65_and_more,tenancy_property_type_owned,tenancy_property_type_rented,tenancy_property_type_detached,tenancy_property_type_semi_detached,tenancy_property_type_duplex,tenancy_property_type_low_rise,tenancy_property_type_high_rise,household_compo_singlefamily,household_compo_multifamily,household_compo_singleperson,household_compo_multiperson,latitude,longitude,bedrooms_plus_field,cluster_nbr,criminal_records
0,0,980000,647.31,125204,64764,749,1313,Downtown,2,2,1,1.0,26,21,2,5,93,56,9,16,0,5,3,11,3,16,65,3,1,64,20,8,4,57,43,0,0,0,1,98,29,0,59,12,43.64594089,-79.39205399,0,5,166
1,1,699800,657.88,67850,29821,860,813,North York,2,2,2,7.0,47,45,0,1,50,24,0,38,0,12,10,21,5,21,43,16,5,36,21,14,8,28,72,5,0,0,0,92,61,2,27,10,43.77394357,-79.34524627,0,3,30
2,2,960000,832.53,142425,63489,904,1061,Downtown,2,2,1,10.0,41,19,0,8,92,75,6,3,0,3,3,16,1,15,62,5,4,47,17,13,13,30,69,0,0,0,3,96,33,0,54,12,43.66947229,-79.38748773,1,2,26
3,3,698800,344.65,108578,60024,635,1099,Downtown,1,1,1,5.0,30,28,1,6,93,75,9,4,0,2,8,17,2,22,50,6,2,44,28,13,7,59,41,1,1,2,15,76,35,1,56,9,43.64510795,-79.40278957,0,0,134
4,4,389900,569.67,62102,27414,849,460,Etobicoke,2,1,1,50.0,31,62,1,0,12,33,3,20,26,0,30,31,5,18,16,23,8,21,19,17,12,39,60,6,0,1,0,90,66,4,23,7,43.69578505,-79.55315475,0,1,38
5,5,599900,700.2,108091,52825,819,732,Etobicoke,1,2,1,32.0,27,66,0,7,58,50,20,2,0,0,9,20,4,27,42,10,3,29,23,22,13,57,42,3,1,1,17,67,49,1,45,5,43.62016983,-79.48336107,0,4,18
6,6,699900,463.69,94866,47457,624,1120,North York,1,1,1,15.0,50,40,1,7,92,21,4,42,0,21,5,16,2,14,61,10,4,41,23,14,9,56,44,5,0,0,9,82,49,1,41,9,43.76013443,-79.4088679,1,3,18
7,7,999900,376.99,76261,35158,1265,790,Etobicoke,3,3,1,5.0,26,64,0,5,89,58,22,1,0,0,23,23,11,21,19,14,5,19,23,21,17,47,52,31,2,5,10,37,60,2,31,6,43.61047485,-79.55191861,0,1,14
8,8,799000,649.68,108006,55689,817,977,Downtown,2,2,1,12.0,30,23,0,4,96,69,9,8,0,1,7,17,2,18,53,7,2,38,25,17,10,52,48,0,0,0,10,87,37,0,56,7,43.65232124,-79.37181891,0,0,122
9,9,720000,809.0,55876,23080,1180,610,Etobicoke,3,2,3,42.0,31,66,0,2,12,34,2,14,0,12,25,34,5,15,22,22,8,22,22,16,10,44,55,5,0,2,0,84,78,6,11,5,43.7477322,-79.57966798,0,1,32
10,10,986000,442.0,117862,53145,788,1250,Midtown | Central,1,2,1,3.0,53,34,2,4,94,67,8,6,0,5,7,15,3,22,52,8,3,34,23,16,17,27,73,3,3,1,10,82,38,0,56,6,43.707523,-79.392402,1,6,12
11,11,699900,478.95,123201,63308,602,1161,Etobicoke,1,1,1,6.0,26,70,1,8,55,50,20,2,0,0,8,19,4,28,42,8,2,33,24,20,13,69,31,1,0,0,7,87,45,0,50,5,43.62237381,-79.48252584,1,4,18
12,12,859900,734.47,98020,49959,760,1130,Downtown,2,2,1,12.0,27,16,3,7,90,60,5,17,0,4,6,14,3,18,57,3,2,61,17,9,6,41,59,0,0,0,1,98,28,0,59,13,43.64887901,-79.38804434,0,5,118
13,13,3498000,1800.0,210870,81739,2161,1618,West End,3,4,2,7.0,35,53,1,5,90,76,11,0,0,1,10,19,2,15,53,15,4,23,21,22,15,66,34,41,1,2,22,33,63,0,34,3,43.6487175,-79.4861836,0,1,4
14,14,699000,421.24,62129,29294,573,1218,Downtown,1,1,1,1.0,46,29,1,8,91,0,0,0,0,0,19,28,5,17,29,14,6,32,23,17,7,22,78,1,2,2,17,67,47,1,44,8,43.6606455,-79.359187,1,1,108
15,15,758000,706.2,121492,53956,715,1060,Etobicoke,2,2,1,11.0,20,72,2,7,68,66,17,3,0,2,26,18,4,21,27,12,4,31,24,19,9,71,29,18,3,2,19,44,53,2,39,6,43.62394171,-79.4884467,0,4,16
16,16,638000,694.86,108266,54958,686,930,Etobicoke,1,1,1,10.0,26,69,1,7,60,57,20,2,0,0,9,19,4,27,40,10,3,29,23,22,14,62,38,2,1,0,14,72,49,1,46,5,43.6214794,-79.483972,1,4,18
17,17,859000,650.55,137681,71016,870,987,Etobicoke,2,2,1,3.0,24,73,1,7,55,58,15,6,0,2,7,18,4,27,43,7,2,39,24,17,10,76,24,0,0,0,2,94,42,0,53,5,43.62322126,-79.48393449,1,4,16
18,18,899000,636.04,98637,51032,837,1073,Downtown,2,2,1,6.0,39,34,1,4,95,56,8,18,0,5,5,15,2,16,61,7,2,59,20,9,4,52,48,0,0,0,1,98,35,0,51,13,43.63835992,-79.39865695,0,5,90
19,19,549900,876.4,87326,47338,849,649,North York,1,1,1,12.0,40,55,2,3,32,37,3,29,0,13,6,16,4,20,54,9,3,29,25,16,19,59,41,2,1,0,4,89,51,0,45,4,43.76691238,-79.38209728,0,3,4
20,20,788000,396.92,101814,51665,571,1378,Downtown,1,1,1,1.0,37,33,1,5,94,62,12,10,0,3,4,14,2,17,61,7,2,58,20,9,4,49,51,0,0,0,0,99,36,0,51,13,43.63750582,-79.39940431,1,5,76
21,21,550000,323.44,55618,23708,569,965,Scarborough,1,1,1,7.6,27,63,1,2,71,33,1,51,0,2,17,25,4,26,27,13,4,37,21,16,9,71,29,3,1,2,1,90,54,3,36,8,43.777872,-79.280751,0,3,26
22,22,663800,427.51,63382,32080,605,1097,Downtown,1,1,1,11.0,52,17,1,11,88,65,9,8,0,2,10,23,4,22,41,10,3,33,24,19,11,15,85,0,0,0,10,88,37,1,51,12,43.66798483,-79.37557622,1,6,66
23,23,809900,254.16,77026,31725,1004,806,Etobicoke,2,2,1,10.0,41,53,0,2,2,48,14,11,0,3,24,28,5,22,22,17,5,22,18,18,20,42,57,14,5,2,0,68,61,3,30,5,43.67626289,-79.56574873,0,1,22
24,24,597900,750.0,54556,26101,983,608,Scarborough,2,1,1,45.0,41,54,0,5,49,63,0,13,1,5,20,34,6,22,16,23,9,21,21,19,9,34,65,6,1,4,6,60,68,3,25,3,43.76673356,-79.19619216,0,1,42
25,25,590000,704.91,50067,24449,1299,457,Scarborough,3,2,1,44.0,34,61,0,0,19,53,0,31,0,2,17,34,7,23,17,21,7,29,18,17,8,35,65,3,0,0,17,78,63,2,26,9,43.78721966,-79.19467698,0,1,12
26,26,1059900,374.05,75896,32230,1299,820,West End,2,3,1,13.7,49,39,1,11,88,42,11,21,0,0,22,24,5,17,31,15,6,24,24,24,7,72,27,4,12,5,35,0,62,4,26,8,43.6740305,-79.4673736,1,1,44
27,27,749000,923.8,58225,25170,1145,654,Scarborough,2,1,1,32.0,25,71,0,2,14,26,0,66,0,1,25,30,5,20,22,15,5,18,18,22,22,82,18,14,1,1,0,79,71,6,19,3,43.8235146,-79.2758582,1,1,4
28,28,799000,367.51,89687,42092,574,1390,Downtown,1,1,1,3.0,37,17,2,13,85,55,12,14,0,0,6,20,3,18,51,4,3,42,20,19,11,30,70,0,0,0,8,89,28,0,58,13,43.662842,-79.3795501,1,2,86
29,29,799999,367.26,88035,37497,1299,619,Etobicoke,2,3,1,7.0,31,56,0,0,48,64,13,5,0,1,17,26,8,24,22,13,4,28,22,21,12,54,45,39,3,5,38,11,60,2,32,6,43.60153403,-79.52535037,0,1,10
30,30,599000,427.69,95486,42857,524,1141,Downtown,1,1,1,1.0,34,19,3,5,92,63,10,8,0,1,8,22,5,18,43,6,3,33,24,23,10,30,70,0,1,1,14,81,31,0,58,11,43.6574957,-79.37437121,1,6,118
31,31,589900,453.43,118306,47095,1062,555,North York,1,1,1,10.0,43,46,0,0,13,25,3,42,0,18,9,24,0,25,41,10,3,50,20,11,6,42,58,3,1,0,1,93,50,0,43,7,43.7690784,-79.3694836,0,3,12
32,32,1639000,692.62,155193,78644,975,1681,Etobicoke,2,3,1,6.0,28,68,1,7,45,61,13,6,0,0,6,18,4,30,42,6,1,27,23,24,19,77,23,0,0,0,0,99,43,0,53,3,43.62494912,-79.47824382,0,4,12
33,33,719900,916.0,87982,38852,1189,605,North York,2,2,1,43.0,33,61,0,4,28,37,2,25,0,13,14,22,4,25,35,8,3,12,14,18,45,77,22,3,1,0,1,90,56,2,39,3,43.79256097,-79.35207475,1,1,8
34,34,1680000,969.05,131316,61086,1046,1606,Downtown,2,3,1,5.0,42,18,1,8,91,45,5,25,0,4,3,16,2,16,62,6,3,45,19,13,14,29,71,0,0,0,3,96,35,0,55,10,43.67008451,-79.38640055,1,2,32
35,35,710000,643.91,75329,37625,692,1026,North York,1,1,1,18.0,46,45,1,0,99,19,2,46,0,21,6,20,1,18,54,10,5,31,23,17,15,64,36,2,0,0,1,96,54,1,37,8,43.76741393,-79.41124894,0,3,20
36,36,819000,608.2,317705,122914,580,1412,Downtown,1,1,1,5.0,33,33,1,4,95,70,10,4,0,2,3,18,3,14,61,4,3,25,15,21,32,43,57,1,3,1,5,88,39,0,56,5,43.67031176,-79.39429856,1,1,26
37,37,889000,366.34,96010,48051,587,1512,Downtown,1,1,1,3.0,42,15,1,8,91,55,5,19,0,6,3,17,1,17,59,5,3,49,19,13,11,25,75,0,0,0,5,94,32,0,56,12,43.66942258,-79.38377286,1,2,36
38,38,678800,521.34,109723,59665,622,1090,Downtown,1,1,1,19.0,26,26,0,4,96,67,7,9,0,4,3,12,2,16,66,4,1,63,21,7,3,58,42,0,0,0,1,99,32,0,55,13,43.6430971,-79.39163927,1,5,146
39,39,820000,208.84,65262,25938,1099,752,Scarborough,2,2,1,15.6,40,57,0,3,47,36,3,46,0,3,21,32,4,19,23,14,6,21,18,21,20,68,31,7,3,2,1,68,71,6,18,5,43.7943244,-79.3104427,1,1,20
40,40,799000,771.36,124263,63267,669,1194,Downtown,1,1,1,9.0,26,22,1,2,97,66,5,12,0,1,5,13,2,18,61,6,2,40,23,17,13,50,50,0,0,0,3,96,38,0,55,7,43.64919552,-79.37573301,0,0,100
41,41,599000,421.13,99583,44558,670,894,North York,1,1,1,10.0,36,60,0,2,29,41,17,21,0,4,17,14,2,19,47,11,4,26,25,20,13,72,28,14,5,2,18,61,59,4,31,6,43.75122766,-79.46411336,1,1,4
42,42,629900,620.63,165244,82228,749,844,Downtown,1,1,1,22.4,29,30,1,7,92,59,9,8,0,4,2,14,2,16,66,7,2,42,21,16,12,53,47,0,0,0,0,100,41,0,50,9,43.640082,-79.378599,0,0,44
43,43,859800,416.95,74753,38582,700,1228,North York,1,1,1,7.0,45,44,0,0,100,29,6,34,0,15,7,20,2,16,54,11,5,30,23,17,15,66,33,3,0,0,1,94,54,1,36,8,43.76956259,-79.41344659,1,3,10
44,44,688888,512.96,113766,61891,749,923,Downtown,1,1,1,1.0,38,41,5,7,88,63,10,7,0,4,3,12,2,20,60,5,1,56,27,8,3,71,29,0,0,1,13,82,35,0,56,9,43.63978925,-79.40984172,1,2,50
45,45,738800,624.97,94028,47149,580,1272,North York,1,1,1,8.0,49,42,0,6,94,21,4,42,0,21,5,17,1,16,60,9,4,39,23,15,11,59,40,5,0,0,7,85,50,1,41,8,43.76049003,-79.41015162,0,3,18
46,46,998900,1158.9,135964,53003,1687,592,North York,3,3,2,10.0,38,53,0,0,13,25,3,42,0,18,7,16,0,23,51,10,4,42,19,14,11,71,28,17,1,0,1,76,55,1,37,6,43.76946572,-79.36964535,0,1,12
47,47,829900,607.43,109723,59665,733,1132,Downtown,1,1,1,19.0,26,26,0,4,96,67,7,9,0,4,3,12,2,16,66,4,1,63,21,7,3,58,42,0,0,0,1,99,32,0,55,13,43.64270173,-79.39336335,1,5,156
48,48,789000,516.14,88366,41959,605,1302,Downtown,2,1,1,3.0,39,17,1,11,88,69,10,10,0,2,5,19,2,19,54,4,4,46,19,18,10,27,73,0,0,0,8,90,27,0,60,13,43.66550952,-79.38302474,0,2,60
49,49,1095000,874.384,80709,34499,1055,1036,West End,2,2,1,7.9,43,35,0,12,88,60,23,6,0,0,27,21,4,13,30,11,4,29,23,19,14,61,38,17,17,14,46,0,60,2,26,12,43.66693445,-79.43188855,1,1,36
50,50,649000,866.47,57613,28555,1004,646,York Crosstown,2,2,1,16.0,43,52,0,2,35,59,3,4,22,4,33,26,6,23,9,19,5,21,19,19,17,24,74,4,1,1,4,90,44,1,50,5,43.69995939,-79.51856628,1,1,56
51,51,989000,417.53,68268,26146,1099,907,Scarborough,3,2,2,44.0,31,62,0,2,35,31,0,58,0,1,23,27,3,21,24,15,7,18,18,24,17,68,29,25,4,4,1,44,73,8,15,4,43.81115432,-79.26758258,1,1,12
52,52,767888,569.2,145764,75366,579,1326,Downtown,1,1,1,6.0,29,28,1,6,93,57,5,16,0,5,2,14,2,15,66,6,2,49,20,14,10,51,49,0,0,0,0,100,38,0,50,11,43.64193524,-79.38154708,1,5,62
53,53,799900,435.66,66450,26716,1299,619,Scarborough,3,2,2,48.0,36,60,0,3,39,30,2,51,0,4,22,33,4,18,22,17,6,22,19,21,15,68,29,8,4,1,4,53,74,6,15,5,43.79996469,-79.3079664,1,1,24
54,54,848000,820.13,82512,40747,1016,834,Downtown,2,2,1,31.0,28,19,3,14,83,33,3,40,0,10,4,20,2,12,61,7,5,55,16,11,6,34,66,0,0,0,1,98,32,0,50,18,43.65885823,-79.38474191,1,2,64
55,55,618000,407.79,121543,67826,497,1243,Downtown,1,1,1,5.0,30,30,1,3,96,75,9,4,0,2,5,15,2,21,57,6,1,51,27,11,5,63,37,0,0,1,7,89,33,0,58,9,43.64375685,-79.40135103,0,0,138
56,56,799900,793.19,66707,32906,883,905,North York,2,2,1,26.0,52,43,2,4,94,19,2,56,0,7,7,20,1,17,54,9,6,37,22,17,10,54,46,2,0,1,2,94,53,1,35,11,43.78139586,-79.41357429,0,3,8
57,57,599000,437.82,102533,52244,569,1051,Downtown,1,1,1,17.0,31,23,0,5,95,69,9,8,0,1,9,18,2,18,50,7,2,38,26,17,9,49,51,0,0,0,11,87,35,0,57,8,43.65291193,-79.37035241,0,0,122
58,58,689900,693.69,67040,27379,1185,582,Scarborough,2,1,1,36.0,22,72,0,3,65,16,12,49,0,4,19,28,4,22,26,12,4,19,18,22,24,75,24,22,0,2,1,72,69,7,21,3,43.81470219,-79.32644566,1,1,4
59,59,738000,500.98,68697,29999,588,1253,North York,1,2,1,3.0,47,45,0,1,50,0,0,0,0,0,11,21,6,21,41,16,5,36,20,14,9,36,64,4,0,0,0,93,61,2,28,9,43.77279627,-79.34539434,1,3,30
60,60,825000,399.0,128004,54355,649,1277,East End,2,2,1,1.0,47,32,0,3,97,80,6,5,0,1,13,17,4,19,46,10,2,34,30,16,8,53,47,2,4,4,24,50,43,1,50,6,43.6575768,-79.350956,0,6,54
61,61,479000,595.56,54178,25570,613,781,North York,1,1,1,50.0,49,44,1,1,29,31,0,47,0,3,22,28,4,21,24,21,6,23,21,17,12,34,66,0,0,0,2,97,65,2,27,6,43.71143063,-79.33473283,0,1,38
62,62,545000,348.17,120061,62848,523,1042,Downtown,1,1,1,21.0,32,32,1,4,95,76,9,6,0,0,4,14,2,19,62,6,2,57,23,9,4,61,39,0,0,0,3,95,33,0,56,11,43.641419,-79.39957852,0,5,128
63,63,1049900,660.7,274480,98818,758,1385,Midtown | Central,2,2,1,3.0,41,31,7,4,56,74,11,5,0,0,6,12,0,15,64,9,3,36,19,17,16,50,50,8,7,7,39,27,47,0,42,11,43.67702152,-79.40638491,0,1,12
64,64,542000,515.84,109357,46695,509,1063,North York,1,1,1,12.0,24,72,0,4,29,49,2,20,0,2,9,25,4,28,34,15,7,19,26,22,12,50,50,14,3,1,19,35,63,2,32,3,43.73009033,-79.33226818,0,1,8
65,65,599000,661.3,108091,52825,765,783,Etobicoke,1,1,1,30.0,27,66,0,7,57,50,20,2,0,0,9,20,4,27,42,10,3,29,23,22,13,57,42,3,1,1,17,67,49,1,45,5,43.6198758,-79.48446638,0,4,18
66,66,499999,446.42,116505,55953,465,1073,West End,1,1,1,8.0,35,55,0,1,3,62,16,3,0,2,7,22,6,21,43,14,4,24,21,19,17,80,21,4,0,0,11,81,49,1,47,3,43.63579119,-79.4712477,0,4,18
67,67,729000,731.42,68029,32225,1435,508,North York,3,2,1,50.0,45,53,0,1,11,32,26,20,0,4,12,22,6,26,34,16,6,21,22,19,16,46,54,3,10,0,2,81,69,4,22,5,43.77957925,-79.44588895,0,1,14
68,68,649000,420.66,61472,25639,885,733,North York,2,2,1,13.0,29,69,0,1,21,31,10,34,0,7,32,28,5,15,20,19,7,21,20,18,16,64,34,4,33,1,9,34,72,7,17,4,43.74651794,-79.56341139,1,1,52
69,69,720000,580.3,69903,30606,773,931,North York,2,2,1,1.0,42,52,0,2,36,46,7,15,0,5,18,24,2,22,34,20,7,23,22,18,10,31,68,0,21,0,29,39,67,6,21,7,43.7194863,-79.3367507,0,1,32
70,70,818888,446.54,107907,51987,596,1372,Downtown,1,1,1,1.0,27,19,1,9,90,56,9,16,0,5,10,15,2,17,52,4,2,60,19,9,6,48,52,0,0,0,4,94,29,0,58,12,43.64896043,-79.39257595,0,5,166
71,71,699000,863.0,57068,23146,1239,564,Etobicoke,2,2,1,28.0,32,65,0,0,2,34,2,14,0,12,23,36,6,18,17,21,8,22,21,17,11,50,48,10,0,4,1,85,76,6,13,5,43.75120645,-79.58286068,1,1,26
72,72,699000,651.31,65893,33069,785,890,North York,2,2,1,12.0,55,39,2,4,94,25,10,38,0,10,8,21,2,18,51,9,5,36,20,18,11,54,46,3,0,1,2,92,53,2,33,12,43.78442758,-79.41613218,0,3,8
73,73,599900,621.41,82255,39750,698,859,Downtown,2,1,1,49.0,43,20,3,10,87,69,11,6,0,1,8,21,3,21,46,7,3,33,24,21,13,26,74,0,0,0,14,83,32,0,57,11,43.66422881,-79.37553505,0,6,98
74,74,699900,518.76,110019,57452,688,1017,Downtown,1,1,1,13.0,29,28,0,4,96,55,8,16,0,5,3,13,2,16,67,6,2,58,22,8,4,56,44,0,0,0,0,99,36,0,51,13,43.63934463,-79.39297156,1,5,98
75,75,499000,712.71,54859,24424,849,589,North York,2,1,1,47.0,35,60,0,1,42,44,10,20,0,3,27,29,5,22,16,23,6,23,22,17,10,27,73,2,8,0,7,80,71,4,19,6,43.74910859,-79.5427787,0,1,20
76,76,719900,466.82,95486,42857,576,1248,Downtown,2,1,1,1.0,34,19,3,5,92,63,10,8,0,1,8,22,5,18,43,6,3,33,24,23,10,30,70,0,1,1,14,81,31,0,58,11,43.6574957,-79.37437121,0,6,118
77,77,698888,729.4,79748,38580,934,748,North York,1,2,1,32.0,46,44,1,3,96,18,5,47,0,17,5,21,1,18,55,9,4,33,21,17,15,57,43,1,0,0,2,95,53,1,38,9,43.76418478,-79.41054278,2,3,20
78,78,529000,420.87,94274,46223,390,1353,Downtown,1,1,1,31.0,43,16,1,7,92,49,10,14,0,6,3,17,2,19,57,4,3,48,21,14,10,26,74,0,0,0,8,90,33,0,56,11,43.66998959,-79.38171855,0,2,46
79,79,825000,318.6,131093,59543,749,1106,Etobicoke,2,2,1,7.9,19,74,2,7,68,58,15,6,0,2,22,18,4,20,32,11,3,38,25,16,7,76,24,10,2,1,10,66,48,1,45,6,43.62385937,-79.48894723,0,4,14
80,80,379000,469.7,62102,27414,849,448,Etobicoke,1,1,1,50.0,31,62,1,0,12,33,3,20,26,0,30,31,5,18,16,23,8,21,19,17,12,39,60,6,0,1,0,90,66,4,23,7,43.69578505,-79.55315475,0,1,38
81,81,749900,811.96,68780,27545,1299,580,North York,3,2,1,49.0,39,51,0,0,44,40,12,22,0,0,19,35,3,18,26,16,6,31,19,17,11,50,50,1,2,0,7,80,59,4,25,12,43.7638181,-79.49760886,0,1,36
82,82,679000,462.79,85501,37715,574,1181,North York,1,1,1,3.0,41,49,1,2,71,42,24,15,0,0,24,24,9,19,22,9,5,21,18,17,29,41,59,27,2,6,14,30,59,2,34,5,43.71525391,-79.45464386,0,1,58
83,83,699000,488.67,60535,27202,606,1153,North York,1,1,1,8.0,47,43,0,1,50,0,0,0,0,0,10,22,5,21,42,16,5,39,21,12,7,13,87,2,0,0,0,95,59,2,27,11,43.77506325,-79.3457849,1,1,30
84,84,879000,503.52,73696,32747,1099,806,York Crosstown,2,2,1,4.0,51,42,0,7,65,41,10,37,0,0,17,22,5,23,30,14,5,23,24,21,12,39,60,19,2,8,14,54,60,4,30,6,43.70075689,-79.44387374,0,1,68
85,85,642000,871.68,63600,28554,1202,534,Scarborough,2,2,1,43.0,45,50,0,1,28,51,4,36,0,0,17,31,7,26,19,20,8,20,20,20,13,43,56,7,2,4,0,70,69,3,23,5,43.74036162,-79.23806503,0,1,42
86,86,648800,975.0,66022,26596,1499,434,Scarborough,2,2,1,46.0,29,65,0,5,51,27,2,23,0,34,19,26,5,24,26,12,5,18,17,23,25,75,23,5,4,1,4,63,68,5,22,4,43.79519221,-79.32438151,1,1,28
87,87,579999,415.48,76289,34703,591,980,Scarborough,1,1,1,18.0,36,59,0,2,49,36,1,39,0,5,17,26,6,25,26,15,5,20,22,24,14,77,23,37,13,3,5,5,64,4,29,3,43.76450583,-79.28847598,0,1,34
88,88,750000,639.67,317705,122914,609,1230,Downtown,1,1,1,5.0,33,33,1,4,95,70,10,4,0,2,3,18,3,14,61,4,3,25,15,21,32,43,57,1,3,1,5,88,39,0,56,5,43.67031176,-79.39429856,1,1,26
89,89,629000,424.71,317705,122914,405,1553,Downtown,1,1,1,5.0,33,33,1,4,95,70,10,4,0,2,3,18,3,14,61,4,3,25,15,21,32,43,57,1,3,1,5,88,39,0,56,5,43.67031176,-79.39429856,0,1,26
90,90,888000,650.0,89097,49317,819,1084,Downtown,2,2,1,16.0,43,37,2,5,93,63,10,7,0,4,6,15,3,18,59,6,2,58,22,9,3,51,48,0,0,0,1,98,35,0,53,12,43.63701592,-79.40557723,0,5,50
91,91,890000,711.36,71663,26236,2600,342,Scarborough,4,3,4,40.5,35,63,0,2,38,64,2,27,0,1,23,29,7,19,21,16,7,22,18,23,15,86,6,40,12,16,0,0,72,10,13,4,43.80372015,-79.20112406,0,1,34
92,92,1499990,1215.0,85980,38764,2250,675,Downtown,3,3,1,20.2,35,19,2,4,94,74,6,4,0,2,12,23,4,21,39,7,3,34,24,23,9,22,77,0,1,0,17,80,30,0,60,10,43.65587434,-79.37265927,0,6,128
93,93,1049000,921.19,129531,81276,1058,991,North York,2,2,1,19.0,30,58,1,1,20,47,6,21,0,7,6,18,3,17,56,10,6,17,20,24,23,66,34,29,0,1,22,48,58,1,39,2,43.750252,-79.407227,1,1,16
94,94,539000,835.45,95380,41394,1063,507,Etobicoke,1,1,1,47.0,25,70,0,1,7,40,17,3,6,3,18,30,8,24,20,14,6,19,18,23,20,72,26,25,2,1,0,69,71,3,24,3,43.65613344,-79.57126751,0,1,30
95,95,699000,607.43,84767,39936,821,851,North York,2,2,1,25.0,41,49,1,3,96,38,4,40,0,10,6,17,2,18,57,12,5,27,23,18,15,75,25,6,1,1,11,79,62,1,30,7,43.77451632,-79.41215503,0,3,8
96,96,778000,763.52,75329,37625,816,953,North York,1,2,1,18.0,46,45,1,0,99,19,2,46,0,21,6,20,1,18,54,10,5,31,23,17,15,64,36,2,0,0,1,96,54,1,37,8,43.76741393,-79.41124894,1,3,20
97,97,599000,642.07,59725,25866,977,613,Scarborough,2,2,1,35.0,34,63,0,2,20,34,2,54,0,0,17,35,7,22,19,21,7,20,21,18,13,53,47,9,7,4,3,61,72,7,19,3,43.81138038,-79.22604213,1,1,32
98,98,750000,584.38,55618,23708,849,886,Scarborough,2,2,1,2.5,27,63,1,3,88,33,1,51,0,2,17,25,4,26,27,13,4,37,21,16,9,71,29,3,1,2,1,90,54,3,36,8,43.77858,-79.281174,1,3,24
99,99,699000,586.95,99300,52695,650,1075,North York,2,1,1,23.0,48,43,2,7,91,37,12,24,0,8,3,15,1,15,65,10,3,40,26,13,7,69,31,4,0,0,14,78,50,1,42,7,43.75753866,-79.40674701,1,3,18
100,100,789000,633.3544,131093,59543,749,1057,Etobicoke,2,2,1,0.5,19,74,2,7,68,58,15,6,0,2,22,18,4,20,32,11,3,38,25,16,7,76,24,10,2,1,10,66,48,1,45,6,43.62385937,-79.48894723,0,4,14
101,101,649000,800.02,70222,31115,1090,595,Scarborough,2,2,1,45.0,42,53,0,1,22,51,4,36,0,0,14,31,8,25,20,17,7,19,19,22,16,57,43,8,1,4,0,69,66,4,25,4,43.74066403,-79.23514059,1,1,38
102,102,799000,615.35,103088,59932,807,989,North York,2,2,1,7.0,41,50,2,7,91,35,7,23,0,21,2,14,1,17,63,11,3,33,26,17,10,75,25,5,0,0,2,89,54,1,40,5,43.75773273,-79.40314903,0,3,20
103,103,799000,473.96,100760,51345,608,1312,Downtown,1,1,1,1.0,33,20,2,2,96,61,7,14,0,3,6,18,3,19,52,6,3,40,24,18,8,38,62,0,0,0,9,89,33,0,55,11,43.65510518,-79.37625483,1,0,102
104,104,699990,334.08,74393,28087,1099,642,Scarborough,2,1,1,17.0,35,60,1,2,15,42,0,46,0,2,18,25,8,26,22,18,8,24,20,18,13,84,9,24,17,7,10,0,76,10,12,2,43.80496377,-79.22818484,1,1,48
105,105,799900,1018.18,204039,90356,809,988,Midtown | Central,2,2,1,14.0,57,30,4,2,94,65,11,5,0,4,2,14,2,19,60,7,2,24,19,19,30,35,65,2,2,2,8,85,39,0,57,4,43.68708841,-79.39403208,0,6,6
106,106,499000,651.08,62102,27414,1028,485,Etobicoke,2,1,1,50.0,31,62,1,0,10,33,3,20,26,0,30,31,5,18,16,23,8,21,19,17,12,39,60,6,0,1,0,90,66,4,23,7,43.69488605,-79.55690692,0,1,36
107,107,799000,565.57,160961,78994,807,990,Downtown,2,2,1,12.0,28,27,1,5,94,49,3,27,0,5,3,14,2,17,65,6,2,44,21,15,12,49,51,0,0,0,0,100,40,0,51,9,43.64275127,-79.37691861,0,5,54
108,108,1049000,1020.8,65318,30787,1247,841,Downtown,3,2,1,7.0,41,30,2,9,89,50,10,17,0,4,21,26,5,17,29,14,7,33,22,17,7,26,74,1,2,0,18,67,48,1,43,8,43.65940364,-79.36117847,1,1,122
109,109,729000,667.43,117862,53145,929,784,Midtown | Central,1,1,1,25.0,53,34,2,5,93,67,8,6,0,5,7,15,3,22,52,8,3,34,23,16,17,27,73,3,3,1,10,82,38,0,56,6,43.70679719,-79.39265529,1,6,12
110,110,919000,652.51,120442,64311,723,1271,Downtown,1,2,1,15.0,27,25,1,5,94,67,7,9,0,4,4,12,3,17,63,3,1,62,23,8,3,60,40,0,0,0,2,97,30,0,59,11,43.64575783,-79.39462545,1,5,166
111,111,639000,436.55,93819,44316,622,1026,North York,1,1,1,6.0,41,48,1,2,76,42,24,15,0,0,24,22,9,20,24,10,5,19,19,17,31,39,61,29,1,6,17,31,58,3,34,5,43.71450191,-79.45350442,1,1,68
112,112,999900,718.43,58559,27080,1499,669,Scarborough,3,2,1,2.5,38,57,1,1,53,20,1,62,0,1,18,25,3,23,31,16,4,20,18,15,27,37,63,3,0,3,2,88,59,3,33,5,43.78581878,-79.29152354,0,1,12
