,index,condo_price,maint_fee,avg_income_household_yr,avg_income_individual_yr,total_sqft,price_per_sqft,toronto_region,bedrooms,bath,parking,age_of_building,commute_transit,commute_car,near_by_schools,near_by_grocery_stores,near_by_bars&restaurants,speak_English,speak_Europe_language,speak_Asian_language,speak_Africa_language,speak_middleEast_language,edu_no_diploma,edu_high_school,edu_trade_cert,edu_coll_or_univ_cert,edu_ba_or_msc_cert,population_0_14_years,population_15_19_years,population_20_34_years,population_35_49_years,population_50_64_years,population_65_and_more,tenancy_property_type_owned,tenancy_property_type_rented,tenancy_property_type_detached,tenancy_property_type_semi_detached,tenancy_property_type_duplex,tenancy_property_type_low_rise,tenancy_property_type_high_rise,household_compo_singlefamily,household_compo_multifamily,household_compo_singleperson,household_compo_multiperson,latitude,longitude,bedrooms_plus_field,cluster_nbr,criminal_records
832,832,599900,680.0,68110,27280,1171,512,Scarborough,3,1,2,45.0,39,58,0,4,40,29,0,49,0,6,20,30,6,21,23,13,6,19,17,22,23,89,9,5,2,2,1,65,70,5,21,4,43.79852392,-79.31537925,0,1,16
833,833,1579000,2297.65,99023,44167,2530,624,Downtown,3,3,2,36.0,37,20,2,12,86,69,11,6,0,1,8,20,4,19,48,4,3,32,22,23,16,31,69,0,1,1,16,80,29,0,61,11,43.66284948,-79.37626872,0,1,98
834,834,999900,512.49,88581,44693,648,1541,Downtown,1,1,1,2.0,28,15,2,7,91,51,4,27,0,3,8,22,1,14,52,7,4,48,18,13,11,32,67,0,0,1,9,89,31,1,53,16,43.65504486,-79.38902291,1,2,104
835,835,495999,604.73,62716,25502,966,513,Scarborough,1,1,1,45.0,34,60,0,4,37,26,1,58,0,2,23,35,5,18,19,18,6,21,20,21,14,60,39,4,9,1,10,59,75,6,14,5,43.80065314,-79.30519287,1,1,24
836,836,888000,394.11,92338,45485,609,1456,Downtown,2,2,1,1.0,34,19,2,3,95,66,7,14,0,0,7,20,4,20,46,6,3,38,25,20,8,32,68,0,1,0,13,85,32,0,57,11,43.65615829,-79.37512841,0,0,108
837,837,649000,509.72,123310,64994,649,1005,Downtown,1,1,1,1.0,26,22,1,5,94,67,7,9,0,4,4,11,3,16,65,3,1,64,21,8,4,59,41,0,0,0,2,98,29,0,59,12,43.64562126,-79.39193375,1,5,160
838,838,900000,1199.08,96299,47892,1299,696,Midtown | Central,2,2,1,40.5,49,38,0,1,99,60,11,4,0,5,8,15,3,23,52,8,3,36,24,17,12,18,82,2,2,0,15,79,37,0,56,7,43.70955607,-79.39806438,0,6,8
839,839,1119000,604.2,79803,35953,1262,886,North York,3,2,2,24.0,45,50,3,4,93,18,3,46,0,24,7,22,2,20,49,10,6,32,20,19,13,71,29,29,2,5,3,43,61,3,24,12,43.77803314,-79.42474407,0,3,0
840,840,638000,893.17,88975,41732,859,742,Downtown,2,1,1,30.8,37,17,1,12,87,69,11,5,0,0,5,19,2,17,54,4,4,46,19,17,10,28,72,0,0,0,7,92,27,0,58,14,43.66379138,-79.38302611,0,2,70
841,841,799000,937.36,116829,63363,900,887,Downtown,1,2,1,18.0,26,24,1,5,94,67,7,9,0,4,2,11,3,16,67,3,1,64,21,7,3,60,40,0,0,0,1,99,30,0,58,12,43.64488356,-79.39209743,1,5,158
842,842,835000,314.46,65480,29625,1083,771,North York,2,2,1,2.0,34,64,0,0,14,49,16,14,0,0,29,28,6,25,9,20,7,22,23,19,10,76,23,18,26,2,11,29,71,7,19,4,43.73404713,-79.534319,0,1,12
843,843,1295000,937.82,97934,46189,1059,1222,Downtown,2,2,1,32.0,38,17,0,9,91,41,3,37,0,6,4,18,1,15,61,5,5,51,16,13,10,27,72,0,0,0,5,94,30,0,54,15,43.66541199,-79.38711873,0,2,52
844,844,690000,648.29,97934,46189,749,925,Downtown,1,1,1,33.0,38,17,0,6,94,41,3,37,0,6,4,18,1,15,61,5,5,51,16,13,10,27,72,0,0,0,5,94,30,0,54,15,43.66596752,-79.38710755,1,2,46
845,845,939900,684.44,94274,46223,749,1259,Downtown,2,1,1,8.0,43,16,3,8,89,49,10,14,0,6,3,17,2,19,57,4,3,48,21,14,10,26,74,0,0,0,8,90,33,0,56,11,43.67057925,-79.38058953,0,2,46
846,846,989000,790.8720000000001,78644,34243,1063,930,West End,2,2,1,100.0,44,32,0,11,89,58,28,8,0,0,24,20,4,14,35,11,3,32,23,18,14,55,45,13,17,13,47,4,56,2,29,13,43.66684738,-79.43183843,0,1,36
847,847,649900,462.85,70316,34264,779,834,Etobicoke,2,2,1,1.0,47,47,0,3,81,36,14,20,0,4,9,26,5,24,36,12,4,31,23,16,13,19,81,2,0,0,1,96,52,1,40,7,43.64644512,-79.52574606,1,6,12
