MLS_number_condo,maint_fee,avg_income_household_yr,total_sqft,parking,age_of_building,commute_transit,commute_car,near_by_schools,near_by_bars&restaurants,speak_English,speak_Europe_language,speak_Africa_language,edu_no_diploma,edu_trade_cert,edu_coll_or_univ_cert,population_35_49_years,tenancy_property_type_semi_detached,tenancy_property_type_low_rise,bedrooms_plus_field,East End,East York,Etobicoke,Midtown | Central
E5550445,841.0,72582,949,2,23.0,36,57,0,13,66,9,0,26,6,23,17,0,2,0,0.0,0.0,0.0,0.0
C5601938,396.0,107907,609,1,5.0,27,19,1,92,56,9,0,10,2,17,19,0,4,1,0.0,0.0,0.0,0.0
C5601276,514.98,102415,561,1,4.0,46,35,0,96,78,8,0,18,7,16,22,14,39,0,0.0,0.0,0.0,1.0
E5600252,680.0,68110,1171,2,45.0,39,58,0,40,29,0,0,20,6,21,17,2,1,0,0.0,0.0,0.0,0.0
C5608471,427.51,63382,605,1,11.0,52,17,1,88,65,9,0,10,4,22,24,0,10,1,0.0,0.0,0.0,0.0
W5594056,343.92,88075,1080,1,6.0,33,63,0,2,69,12,0,19,4,19,17,0,0,0,0.0,0.0,1.0,0.0
C5555339,351.26,89581,500,1,10.0,42,36,2,93,63,10,0,5,3,17,22,0,1,0,0.0,0.0,0.0,0.0
C5572447,705.68,112838,623,1,31.0,33,36,5,88,73,8,0,8,1,21,29,2,16,0,0.0,0.0,0.0,0.0
C5592783,807.14,89776,975,1,14.0,44,38,2,93,63,10,0,6,3,18,23,0,1,1,0.0,0.0,0.0,0.0
C5549786,1215.2,92312,1750,1,2.5,34,33,1,95,49,20,0,26,2,10,22,13,46,0,0.0,0.0,0.0,0.0
W5594943,1036.85,84508,1250,1,49.0,26,69,0,3,38,41,2,18,8,18,18,2,1,1,0.0,0.0,1.0,0.0
C5601387,354.99,116368,646,1,8.0,34,40,0,95,72,10,0,3,2,21,25,0,10,1,0.0,0.0,0.0,0.0
W5607976,590.54,74840,949,1,0.5,44,46,1,88,54,18,0,33,7,14,23,29,41,0,0.0,0.0,0.0,0.0
H4124760,5112.3072,160961,3192,4,10.0,28,27,1,93,49,3,0,3,2,17,21,0,0,0,0.0,0.0,0.0,0.0
C5547808,589.15,69903,787,1,1.0,42,52,0,36,46,7,0,18,2,22,22,21,29,0,0.0,0.0,0.0,0.0
C5597221,427.95,87614,1299,2,19.3,35,59,1,38,24,1,1,11,2,24,24,20,39,0,0.0,0.0,0.0,0.0
W5590550,540.0,70657,1299,1,32.8,45,51,0,28,52,21,0,27,6,20,23,2,47,0,0.0,0.0,0.0,0.0
W5596667,562.79,121492,560,1,11.0,20,72,2,68,66,17,0,26,4,21,24,3,19,0,0.0,0.0,1.0,0.0
W5566345,513.66,77357,712,1,8.0,31,59,0,16,50,13,0,18,6,25,21,1,12,1,0.0,0.0,1.0,0.0
C5599423,1199.08,96299,1299,1,40.5,49,38,0,99,60,11,0,8,3,23,24,2,15,0,0.0,0.0,0.0,1.0
C5552894,406.08,160961,673,1,10.0,28,27,1,93,49,3,0,3,2,17,21,0,0,1,0.0,0.0,0.0,0.0
C5543579,455.0,97233,640,1,10.0,41,54,1,32,40,25,0,16,6,22,23,1,20,1,0.0,0.0,0.0,0.0
C5602867,1085.55,262295,872,1,33.0,36,33,1,91,79,7,0,8,2,17,17,7,15,1,0.0,0.0,0.0,0.0
C5603519,989.94,89807,1517,2,11.0,42,36,1,93,63,10,0,5,3,17,21,0,1,1,0.0,0.0,0.0,0.0
C5599054,690.34,115154,904,1,9.0,38,33,0,98,73,6,0,12,5,23,27,2,18,0,0.0,0.0,0.0,0.0
C5603524,608.2,317705,580,1,5.0,33,33,1,95,70,10,0,3,3,14,15,3,5,1,0.0,0.0,0.0,0.0
