MLS_number_condo,maint_fee,avg_income_household_yr,total_sqft,parking,age_of_building,commute_transit,commute_car,near_by_schools,near_by_bars&restaurants,speak_English,speak_Europe_language,speak_Africa_language,edu_no_diploma,edu_trade_cert,edu_coll_or_univ_cert,population_35_49_years,tenancy_property_type_semi_detached,tenancy_property_type_low_rise,bedrooms_plus_field,East End,East York,Etobicoke,Midtown | Central
E5603348,581.31,65303,839,1,36.0,33,62,1,26,43,0,0,20,5,20,21,3,2,0,0.0,0.0,0.0,0.0
C5594551,591.25,97003,1299,1,45.0,24,74,0,2,59,5,0,9,3,22,25,3,1,0,0.0,0.0,0.0,0.0
C5593854,604.49,256644,849,1,1.0,44,39,6,92,76,3,0,3,2,18,17,3,19,1,0.0,0.0,0.0,1.0
W5578364,569.7,62102,949,1,50.0,31,62,1,12,33,3,26,30,5,18,19,0,0,0,0.0,0.0,1.0,0.0
W5574029,859.24,57068,1240,1,28.0,32,65,0,2,34,2,0,23,6,18,21,0,1,0,0.0,0.0,1.0,0.0
W5508987,1142.4,84816,1750,1,2.5,48,45,0,94,64,18,0,25,4,20,26,10,25,1,0.0,0.0,0.0,0.0
C5600361,937.82,97934,1059,1,32.0,38,17,0,91,41,3,0,4,1,15,16,0,5,0,0.0,0.0,0.0,0.0
C5552978,662.21,105185,790,1,8.0,43,51,1,31,45,20,0,19,5,19,20,0,8,0,0.0,0.0,0.0,0.0
W5606650,838.6,83179,1750,2,10.5,26,70,0,1,47,19,0,22,6,23,25,9,3,1,0.0,0.0,0.0,0.0
C5605313,454.59,80557,540,1,9.0,49,30,0,96,70,9,0,12,3,18,23,1,12,0,0.0,0.0,0.0,0.0
W5602469,741.81,137681,970,1,9.0,24,73,1,53,58,15,0,7,4,27,24,0,2,1,0.0,0.0,1.0,0.0
C5602701,783.0,121543,907,1,18.0,30,30,1,96,75,9,0,5,2,21,27,0,7,0,0.0,0.0,0.0,0.0
W5436338,449.82,155193,849,1,0.5,28,68,1,45,61,13,0,6,4,30,23,0,0,0,0.0,0.0,1.0,0.0
W5601165,1308.12,121110,1299,1,3.0,42,36,2,94,70,13,0,15,3,19,26,13,47,0,0.0,0.0,0.0,0.0
C5538829,383.3,95486,466,1,1.0,34,19,3,92,63,10,0,8,5,18,24,1,14,0,0.0,0.0,0.0,0.0
C5510226,944.17,133496,1100,1,14.0,58,31,0,96,67,7,0,5,3,22,23,3,8,0,0.0,0.0,0.0,1.0
E5569511,449.29,81461,634,1,5.0,37,54,0,11,67,11,0,29,3,17,20,5,13,1,0.0,0.0,0.0,0.0
E5575375,720.0,66145,1104,1,34.0,21,73,0,71,27,1,0,19,5,21,17,0,1,0,0.0,0.0,0.0,0.0
W5579561,303.72,62661,580,1,13.0,24,73,0,27,23,28,0,31,6,17,20,27,16,0,0.0,0.0,0.0,0.0
E5598533,694.73,66466,720,1,19.0,32,63,2,96,34,0,0,11,5,26,19,1,1,1,0.0,0.0,0.0,0.0
E5568685,456.14,69691,949,1,15.5,51,42,0,32,52,5,0,23,6,24,22,1,23,0,0.0,0.0,0.0,0.0
W5590345,591.23,123201,849,1,6.0,26,70,1,55,50,20,0,8,4,28,24,0,7,0,0.0,0.0,1.0,0.0
C5587782,540.36,120305,849,1,0.5,26,21,0,96,65,7,0,6,2,20,22,0,2,0,0.0,0.0,0.0,0.0
W5548029,1603.0,105754,1422,2,31.0,27,64,0,46,50,20,0,9,4,25,23,2,21,0,0.0,0.0,1.0,0.0
C5563566,708.64,69572,849,1,46.0,39,54,0,42,27,2,0,14,4,21,20,2,3,0,0.0,0.0,0.0,0.0
W5606617,543.7296,131093,549,1,2.1,19,74,2,68,58,15,0,22,4,20,25,2,10,0,0.0,0.0,1.0,0.0
C5591341,520.76,110235,662,1,4.0,31,59,1,48,53,9,0,12,6,24,18,7,15,1,0.0,0.0,0.0,0.0
C5584180,862.0,66707,974,1,24.0,52,43,2,94,19,2,0,7,1,17,22,0,2,1,0.0,0.0,0.0,0.0
E5602109,737.36,109559,1300,3,21.8,35,60,0,5,66,6,0,11,3,26,22,27,1,0,0.0,0.0,0.0,0.0
C5553378,2163.38,110972,1562,1,10.0,26,18,2,94,64,8,0,2,4,17,18,0,1,0,0.0,0.0,0.0,0.0
C5597371,974.94,103759,970,1,7.0,37,29,0,97,69,9,0,4,3,23,28,0,6,0,0.0,0.0,0.0,0.0
C5560916,443.0,69286,612,1,1.0,43,29,2,90,32,0,5,20,4,15,22,3,17,1,0.0,0.0,0.0,0.0
W5573118,953.42,125745,1325,2,47.0,26,65,0,8,52,12,0,9,4,20,16,3,0,0,0.0,0.0,1.0,0.0
C5602315,1403.76,87982,1771,2,43.0,33,61,0,28,37,2,0,14,4,25,14,1,1,0,0.0,0.0,0.0,0.0
W5594650,1440.0,155603,1705,2,18.0,27,69,0,28,61,13,0,6,4,30,23,0,0,0,0.0,0.0,1.0,0.0
C5608131,607.43,109723,733,1,19.0,26,26,0,96,67,7,0,3,2,16,21,0,1,1,0.0,0.0,0.0,0.0
W5480989,1197.4144000000001,81751,1799,2,20.3,19,72,0,26,46,46,0,34,7,10,21,9,3,1,0.0,0.0,0.0,0.0
C5603457,483.0,67660,1099,1,32.5,43,51,0,49,31,9,0,7,6,20,25,0,0,1,0.0,0.0,0.0,0.0
E5525503,853.83,65954,879,1,24.0,31,64,0,96,34,0,0,11,2,27,22,0,0,0,0.0,0.0,0.0,0.0
C5607561,1215.0,85980,2250,1,20.2,35,19,2,94,74,6,0,12,4,21,24,1,17,0,0.0,0.0,0.0,0.0
C5593585,453.9,102770,706,1,8.0,36,34,1,93,63,10,0,4,2,17,20,0,1,1,0.0,0.0,0.0,0.0
W5461299,741.7384000000001,131093,949,1,0.5,19,74,2,68,58,15,0,22,4,20,25,2,10,0,0.0,0.0,1.0,0.0
C5434358,1698.9,155900,1907,2,3.0,29,29,1,92,49,3,0,3,2,16,21,0,0,1,0.0,0.0,0.0,0.0
E5604028,199.58,83437,1099,1,12.0,53,46,0,11,50,2,0,13,4,30,25,13,27,0,0.0,0.0,0.0,0.0
E5603076,782.47,123344,1170,1,9.0,50,32,0,98,80,6,0,15,3,18,31,7,33,0,1.0,0.0,0.0,0.0
W5593667,605.27,105852,937,1,13.0,40,51,0,64,46,14,0,12,7,23,23,1,5,0,0.0,0.0,1.0,0.0
E5573696,630.6,65319,1166,1,45.0,28,64,1,84,23,7,0,16,4,25,21,0,5,0,0.0,0.0,0.0,0.0
W5588570,770.54,76633,1099,1,51.0,33,62,0,1,50,14,1,19,6,24,19,15,0,0,0.0,0.0,1.0,0.0
C5606377,389.82,96010,494,1,12.0,42,15,1,91,55,5,0,3,1,17,19,0,5,0,0.0,0.0,0.0,0.0
W5452838,1119.82,242409,1899,1,6.8,24,72,1,10,80,11,0,9,4,15,20,1,11,1,0.0,0.0,1.0,0.0
C5529349,845.26,118266,1336,1,8.0,30,21,1,97,66,5,0,4,2,18,23,0,7,0,0.0,0.0,0.0,0.0
C5596969,365.15,86990,614,1,10.0,41,55,0,56,55,12,0,20,7,19,25,0,35,1,0.0,0.0,0.0,0.0
C5599732,650.0,91761,549,2,3.0,35,53,1,84,24,24,0,17,4,17,21,26,4,1,0.0,0.0,0.0,0.0
W5591046,412.0,64941,649,1,2.5,37,57,1,26,60,22,0,35,5,16,21,8,30,1,0.0,0.0,0.0,0.0
C5565665,330.0,70102,1299,1,11.0,49,45,3,93,18,3,0,6,2,20,19,1,1,0,0.0,0.0,0.0,0.0
W5605218,300.99,81751,1299,1,1.0,19,72,0,37,46,46,0,34,7,10,21,9,3,0,0.0,0.0,0.0,0.0
W5561536,987.84,72010,1300,2,35.0,22,73,0,11,58,12,8,26,7,23,19,3,1,0,0.0,0.0,1.0,0.0
E5600751,345.27,67757,1499,2,24.0,31,66,0,28,36,0,0,19,5,21,22,2,1,0,0.0,0.0,0.0,0.0
C5579485,993.43,92733,1305,2,31.0,26,70,0,15,40,4,0,10,6,24,19,0,2,1,0.0,0.0,0.0,0.0
C5604086,364.11,69903,431,1,1.0,42,52,0,36,46,7,0,18,2,22,22,21,29,0,0.0,0.0,0.0,0.0
C5607467,763.52,75329,816,1,18.0,46,45,1,99,19,2,0,6,1,18,23,0,1,1,0.0,0.0,0.0,0.0
C5576997,474.34,95486,587,1,1.0,34,19,3,92,63,10,0,8,5,18,24,1,14,1,0.0,0.0,0.0,0.0
C5607118,883.0,61517,1099,1,48.0,43,47,1,15,27,0,0,24,4,22,19,0,27,0,0.0,0.0,0.0,0.0
W5605585,1117.9736,99751,599,2,2.5,28,60,0,55,64,13,0,16,8,27,22,4,32,0,0.0,0.0,1.0,0.0
E5547721,554.0,80313,633,1,14.0,38,57,0,47,56,7,0,18,5,25,22,1,28,1,0.0,1.0,0.0,0.0
C5592117,1201.8,134207,2792,2,6.0,39,18,0,93,37,6,0,3,1,14,15,0,3,0,0.0,0.0,0.0,0.0
C5597522,845.49,87678,1299,1,45.0,36,58,1,12,26,4,0,15,1,22,21,7,35,1,0.0,0.0,0.0,0.0
C5603028,408.93,66094,410,1,13.0,51,17,1,90,65,9,0,10,4,21,24,0,10,0,0.0,0.0,0.0,0.0
E5596340,456.55,69944,648,1,1.0,36,60,0,54,30,0,0,21,5,20,20,2,3,1,0.0,0.0,0.0,0.0
C5589784,507.02,89097,611,1,16.0,43,37,2,93,63,10,0,6,3,18,22,0,1,1,0.0,0.0,0.0,0.0
C5594936,724.05,108006,716,1,6.0,30,23,0,95,69,9,0,7,2,18,25,0,10,0,0.0,0.0,0.0,0.0
W5551225,595.0,76683,1099,1,50.0,27,66,1,10,33,3,26,32,5,18,17,1,0,0,0.0,0.0,1.0,0.0
C5567385,872.0,214327,875,2,1.0,36,25,1,96,58,6,0,4,2,13,16,1,2,0,0.0,0.0,0.0,0.0
E5569542,923.4000000000001,75576,2250,1,7.0,43,52,0,15,35,1,0,21,10,19,23,14,8,1,0.0,0.0,0.0,0.0
C5556990,332.5,142144,849,1,0.5,30,63,1,5,29,8,0,10,3,19,17,2,3,0,0.0,0.0,0.0,0.0
E5566475,423.0,69944,676,1,1.0,36,60,0,54,30,0,0,21,5,20,20,2,3,0,0.0,0.0,0.0,0.0
C5558958,603.78,96299,712,1,11.0,49,38,0,99,60,11,0,8,3,23,24,2,15,1,0.0,0.0,0.0,1.0
C5603300,725.0,70686,903,1,47.0,35,61,1,26,36,8,0,20,5,24,20,0,3,0,0.0,0.0,0.0,0.0
C5600500,499.29,106838,775,1,9.0,24,54,0,95,70,10,0,2,3,17,23,0,4,1,0.0,0.0,0.0,0.0
C5576554,421.81,179318,556,1,1.0,38,23,1,92,65,8,0,4,2,15,17,1,2,1,0.0,0.0,0.0,0.0
W5583301,742.22,63733,944,1,36.0,32,65,0,14,49,16,0,28,7,26,23,26,10,1,0.0,0.0,0.0,0.0
C5550061,678.27,116816,992,1,7.0,26,19,2,91,56,9,0,6,3,17,19,0,2,0,0.0,0.0,0.0,0.0
C5561067,637.28,94274,802,1,11.0,43,16,1,91,49,10,0,3,2,19,21,0,8,0,0.0,0.0,0.0,0.0
C5590630,978.45,142708,949,1,18.0,42,20,1,90,61,11,0,4,1,15,19,1,2,1,0.0,0.0,0.0,0.0
C5594482,634.8,90646,649,1,6.0,48,42,0,94,29,5,0,5,2,16,21,0,2,1,0.0,0.0,0.0,0.0
C5607751,562.22,87599,674,1,7.0,47,43,1,91,33,5,0,5,1,17,20,0,2,1,0.0,0.0,0.0,0.0
E5579582,453.61,69186,546,1,16.0,35,61,2,96,22,0,0,13,4,23,21,0,0,0,0.0,0.0,0.0,0.0
H4132753,488.8,64281,1300,1,46.0,30,62,1,8,44,16,0,28,5,19,20,0,0,0,0.0,0.0,1.0,0.0
W5505189,400.4,155193,749,1,11.0,28,68,1,45,61,13,0,6,4,30,23,0,0,0,0.0,0.0,1.0,0.0
W5558287,1020.41,99356,1086,1,8.0,55,30,1,93,65,22,0,8,3,26,24,6,30,1,0.0,0.0,0.0,0.0
C5592171,1023.43,101548,1455,1,2.0,54,34,1,96,53,15,0,7,3,21,23,1,9,1,0.0,0.0,0.0,1.0
C5577259,423.79,113415,603,1,8.0,34,42,1,94,73,10,0,3,2,20,25,0,8,1,0.0,0.0,0.0,0.0
W5541938,864.85,72010,1098,1,35.0,22,73,0,11,58,12,8,26,7,23,19,3,1,0,0.0,0.0,1.0,0.0
C5594497,501.0,96028,636,1,1.0,34,20,2,96,61,11,0,7,3,20,24,0,10,1,0.0,0.0,0.0,0.0
W5581159,545.0,55876,952,2,42.0,31,66,0,12,34,2,0,25,5,15,22,0,0,0,0.0,0.0,1.0,0.0
C5552620,730.37,226478,825,1,6.0,38,30,1,92,63,11,0,5,3,17,18,2,3,0,0.0,0.0,0.0,0.0
C5608415,586.95,99300,650,1,23.0,48,43,2,91,37,12,0,3,1,15,26,0,14,1,0.0,0.0,0.0,0.0
C5567682,887.93,172031,800,1,19.0,37,49,3,61,73,4,0,9,2,17,25,13,11,0,0.0,0.0,0.0,1.0
E5607212,646.29,97718,1299,1,43.0,47,50,1,27,61,9,0,20,5,21,20,1,19,0,0.0,0.0,0.0,0.0
C5593902,330.58,86178,445,1,1.0,37,17,0,84,42,7,0,3,1,15,17,0,6,0,0.0,0.0,0.0,0.0
C5582232,1137.05,107820,996,1,17.0,27,61,0,23,53,9,0,13,4,24,20,3,10,1,0.0,0.0,0.0,0.0
W5573279,742.04,61663,849,1,49.0,41,53,0,30,42,2,0,37,8,12,21,1,3,0,0.0,0.0,0.0,0.0
C5526654,2039.0,90309,2165,2,13.0,41,54,2,32,42,6,0,7,4,19,24,2,9,2,0.0,0.0,0.0,0.0
C5557275,1144.06,115254,1510,1,31.0,28,17,2,94,58,6,0,2,3,15,19,0,1,1,0.0,0.0,0.0,0.0
W5594835,407.52,80728,1099,1,18.0,41,49,0,94,50,36,0,36,7,14,24,24,39,1,0.0,0.0,0.0,0.0
W5545239,970.53,73467,1129,1,51.0,33,61,0,11,42,15,0,17,8,28,18,2,0,0,0.0,0.0,1.0,0.0
C5607565,921.19,129531,1058,1,19.0,30,58,1,20,47,6,0,6,3,17,20,0,22,1,0.0,0.0,0.0,0.0
W5606086,488.47,79807,1464,1,5.0,46,41,1,91,68,20,0,24,3,21,26,12,48,1,0.0,0.0,0.0,0.0
W5587876,544.83,93931,604,1,7.0,44,51,1,93,62,19,0,9,3,23,23,2,1,0,0.0,0.0,1.0,0.0
C5585564,834.24,118306,1010,1,10.0,43,46,0,13,25,3,0,9,0,25,20,1,1,1,0.0,0.0,0.0,0.0
C5566549,1240.5,98020,1458,1,12.0,27,16,3,90,60,5,0,6,3,18,17,0,1,1,0.0,0.0,0.0,0.0
C5585265,570.79,177582,754,1,6.0,57,32,1,92,75,11,0,7,2,18,22,5,12,0,0.0,0.0,0.0,1.0
C5606049,334.85,114784,508,1,8.0,33,42,0,95,72,10,0,2,2,20,25,0,8,0,0.0,0.0,0.0,0.0
C5569682,685.0,65318,797,1,7.0,41,30,2,89,50,10,0,21,5,17,22,2,18,0,0.0,0.0,0.0,0.0
W5574926,422.49,137681,605,1,5.0,24,73,1,53,58,15,0,7,4,27,24,0,2,1,0.0,0.0,1.0,0.0
C5605516,563.17,85090,643,1,13.0,34,17,1,86,46,4,0,6,3,16,18,0,4,1,0.0,0.0,0.0,0.0
C5598692,714.0,62177,1099,1,32.1,42,47,1,18,23,0,0,24,4,22,20,0,31,0,0.0,0.0,0.0,0.0
C5589723,527.44,97813,578,1,3.0,38,34,1,94,56,8,0,5,2,16,20,0,1,1,0.0,0.0,0.0,0.0
C5598820,475.0,103088,635,1,7.0,41,50,2,91,35,7,0,2,1,17,26,0,2,1,0.0,0.0,0.0,0.0
C5593924,594.57,116975,648,1,5.0,35,30,0,100,69,9,0,4,3,22,28,0,9,1,0.0,0.0,0.0,0.0
W5606348,436.55,93819,622,1,6.0,41,48,1,76,42,24,0,24,9,20,19,1,17,1,0.0,0.0,0.0,0.0
C5565863,412.52,90129,609,1,1.0,36,17,1,84,50,4,0,6,3,17,20,0,7,1,0.0,0.0,0.0,0.0
C5567629,1341.27,63382,1763,2,11.0,52,17,1,88,65,9,0,10,4,22,24,0,10,1,0.0,0.0,0.0,0.0
W5602860,474.61,113894,496,1,4.0,53,39,0,74,71,14,0,7,4,21,22,1,12,0,0.0,0.0,0.0,0.0
C5592406,399.82,107134,654,1,8.0,25,22,1,93,64,8,0,2,4,15,20,0,1,1,0.0,0.0,0.0,0.0
C5575041,806.09,126147,1154,1,10.0,27,23,1,95,71,7,0,3,3,17,21,0,2,1,0.0,0.0,0.0,0.0
W5571960,893.0,95337,1203,1,12.0,44,51,1,86,62,19,0,9,3,22,22,1,1,0,0.0,0.0,1.0,0.0
C5604363,985.85,107700,1169,1,18.0,27,26,0,95,57,5,0,3,2,15,21,0,0,1,0.0,0.0,0.0,0.0
W5592503,771.69,276273,1099,1,0.5,5,88,0,2,46,7,0,11,0,21,20,0,0,1,0.0,0.0,0.0,0.0
W5594856,600.0,76683,949,1,50.0,27,66,1,10,33,3,26,32,5,18,17,1,0,0,0.0,0.0,1.0,0.0
C5601590,765.0,90995,1299,1,40.5,33,62,1,12,26,4,0,16,1,20,20,3,24,1,0.0,0.0,0.0,0.0
W5598576,453.0,99488,749,1,10.0,36,59,0,28,46,46,0,16,3,19,25,5,19,1,0.0,0.0,0.0,0.0
C5596650,654.0,91761,661,1,3.0,35,53,1,84,24,24,0,17,4,17,21,26,4,0,0.0,0.0,0.0,0.0
C5523871,1416.6000000000001,92381,2250,1,100.0,41,17,1,92,68,8,0,5,2,20,21,0,10,2,0.0,0.0,0.0,0.0
C5572929,779.41,125447,733,1,2.0,57,32,0,97,53,15,0,5,3,22,23,3,8,1,0.0,0.0,0.0,1.0
C5534452,504.11,131316,606,1,5.0,42,18,1,91,45,5,0,3,2,16,19,0,3,1,0.0,0.0,0.0,0.0
E5590239,639.13,72520,1000,1,25.0,35,60,2,96,39,2,0,14,4,24,20,0,0,0,0.0,0.0,0.0,0.0
E5603212,587.98,73579,949,2,16.0,35,60,2,95,61,4,0,14,4,24,20,0,0,1,0.0,0.0,0.0,0.0
W5483871,393.0,155193,649,1,0.5,28,68,1,45,61,13,0,6,4,30,23,0,0,1,0.0,0.0,1.0,0.0
C5604324,1011.8,299133,1099,1,20.0,31,57,0,10,47,6,0,7,3,17,16,0,9,0,0.0,0.0,0.0,0.0
C5606221,936.94,162112,931,1,30.0,28,27,1,93,60,11,0,3,2,17,21,0,0,1,0.0,0.0,0.0,0.0
E5586461,540.96,75566,799,1,2.0,33,59,0,63,50,5,0,24,10,17,20,0,5,0,0.0,0.0,0.0,0.0
W5573807,487.72,143962,667,1,9.0,19,79,1,55,58,15,0,6,4,24,26,0,2,0,0.0,0.0,1.0,0.0
W5575461,474.16,90662,1099,1,6.0,48,47,0,92,64,18,0,21,3,21,27,9,32,1,0.0,0.0,0.0,0.0
E5600528,752.09,62527,1358,1,40.0,42,55,0,39,37,3,0,21,6,19,17,4,3,0,0.0,0.0,0.0,0.0
C5581006,2241.05,108660,2793,3,5.0,27,18,1,90,56,9,0,8,3,18,19,0,3,1,0.0,0.0,0.0,0.0
C5608686,344.65,108578,635,1,5.0,30,28,1,93,75,9,0,8,2,22,28,1,15,0,0.0,0.0,0.0,0.0
W5603197,320.77,94957,1320,1,2.0,28,64,0,58,39,45,0,17,5,23,21,2,40,0,0.0,0.0,1.0,0.0
W5571875,319.42,64135,1299,1,47.0,34,60,0,33,45,25,0,30,7,16,18,7,3,1,0.0,0.0,0.0,0.0
C5594440,746.57,125204,749,1,1.0,26,21,2,93,56,9,0,3,3,16,20,0,1,1,0.0,0.0,0.0,0.0
C5602488,1684.58,198361,1499,3,24.0,61,26,5,93,74,9,0,2,2,19,18,2,4,0,0.0,0.0,0.0,1.0
E5579665,270.67,65728,616,1,4.0,32,64,1,23,36,0,0,20,5,22,22,2,1,0,0.0,0.0,0.0,0.0
E5606464,975.0,66022,1499,1,46.0,29,65,0,51,27,2,0,19,5,24,17,4,4,1,0.0,0.0,0.0,0.0
C5506875,619.34,70858,1004,1,4.0,33,17,0,93,36,1,9,27,3,11,18,2,40,0,0.0,0.0,0.0,0.0
C5551786,345.37,102896,439,1,2.0,32,19,5,92,61,7,0,5,2,18,22,0,4,0,0.0,0.0,0.0,0.0
W5597775,468.88,77357,630,1,5.0,31,59,0,18,50,13,0,18,6,25,21,1,12,1,0.0,0.0,1.0,0.0
C5590621,604.21,128055,1699,1,23.6,31,64,2,67,42,5,0,13,8,16,20,1,0,0,0.0,0.0,0.0,0.0
C5580626,305.65,113418,373,1,4.0,52,35,0,99,66,10,0,6,3,22,23,4,11,0,0.0,0.0,0.0,1.0
C5577119,736.03,323780,701,1,4.0,40,27,1,96,70,9,0,2,3,13,13,2,4,1,0.0,0.0,0.0,0.0
E5513936,926.47,105586,1259,1,11.0,22,71,0,20,67,10,0,21,2,25,19,0,4,0,0.0,0.0,0.0,0.0
C5594462,467.2,66111,637,1,3.0,48,48,1,43,46,6,0,11,6,21,21,0,0,1,0.0,0.0,0.0,0.0
W5598967,1123.2,135825,2250,3,41.4,23,74,2,53,63,17,0,12,5,17,27,2,11,0,0.0,0.0,1.0,0.0
C5576749,791.25,117906,949,1,34.0,39,17,0,93,51,5,0,3,1,14,16,0,4,0,0.0,0.0,0.0,0.0
C5606506,865.45,101613,1454,2,11.0,46,44,2,91,35,7,0,3,1,15,27,0,17,1,0.0,0.0,0.0,0.0
C5575472,410.45,123310,549,1,1.0,26,22,1,94,67,7,0,4,3,16,21,0,2,0,0.0,0.0,0.0,0.0
W5599793,808.29,49276,949,1,50.0,42,51,0,22,59,5,2,34,7,15,17,2,1,0,0.0,0.0,0.0,0.0
C5544310,379.49,106061,436,1,21.0,38,35,1,94,70,10,0,5,2,16,21,0,1,0,0.0,0.0,0.0,0.0
W5579267,760.75,55876,1208,1,28.0,31,66,0,4,34,2,0,25,5,15,22,0,0,1,0.0,0.0,1.0,0.0
E5604731,472.65,106000,749,1,1.5,50,39,1,89,58,12,0,22,1,16,24,31,30,0,0.0,1.0,0.0,0.0
C5598845,490.61,114500,583,1,5.0,35,30,0,99,69,9,0,4,3,22,28,0,9,0,0.0,0.0,0.0,0.0
W5577158,467.59,99488,730,1,10.0,36,59,0,28,46,46,0,16,3,19,25,5,19,1,0.0,0.0,0.0,0.0
E5603617,800.26,60258,1165,1,30.0,47,50,0,8,52,0,0,23,6,23,20,4,2,1,0.0,0.0,0.0,0.0
W5559355,570.0,85841,794,1,4.0,45,44,0,65,54,11,0,29,4,19,25,8,27,0,0.0,0.0,0.0,0.0
C5550878,1064.0,69528,1549,1,33.0,39,56,0,5,31,28,0,12,7,23,20,13,13,0,0.0,0.0,0.0,0.0
C5599435,509.72,123310,649,1,1.0,26,22,1,94,67,7,0,4,3,16,21,0,2,1,0.0,0.0,0.0,0.0
C5604787,647.07,120091,585,1,6.0,54,34,0,99,66,10,0,6,3,22,23,3,10,1,0.0,0.0,0.0,1.0
C5578387,721.58,91761,741,1,3.0,35,53,1,84,24,24,0,17,4,17,21,26,4,0,0.0,0.0,0.0,0.0
E5599875,360.0,88517,1099,1,8.0,30,65,1,31,69,7,0,15,3,28,19,0,1,0,0.0,0.0,0.0,0.0
C5608074,437.82,102533,569,1,17.0,31,23,0,95,69,9,0,9,2,18,26,0,11,0,0.0,0.0,0.0,0.0
C5580048,786.9,109723,967,1,19.0,26,26,0,96,67,7,0,3,2,16,21,0,1,2,0.0,0.0,0.0,0.0
C5583212,973.88,148400,957,1,16.0,52,40,0,46,60,9,0,12,3,24,20,0,11,0,0.0,0.0,0.0,1.0
C5589742,1666.46,98895,1632,1,9.0,28,14,5,88,58,6,0,3,3,18,18,0,1,0,0.0,0.0,0.0,0.0
C5576189,704.46,105618,907,1,11.0,28,27,0,95,56,8,0,3,2,15,20,0,0,0,0.0,0.0,0.0,0.0
C5601355,547.23,106616,825,1,1.0,32,28,0,97,73,6,0,11,3,21,27,1,11,0,0.0,0.0,0.0,0.0
C5581749,625.25,197371,1099,1,45.0,29,64,1,60,55,8,0,6,2,21,24,1,35,0,0.0,0.0,0.0,0.0
C5594035,602.91,103759,697,1,7.0,37,29,0,97,69,9,0,4,3,23,28,0,6,1,0.0,0.0,0.0,0.0
C5573396,578.0,85849,741,1,3.0,39,56,2,30,26,6,0,6,3,21,25,0,2,0,0.0,0.0,0.0,0.0
C5608195,521.34,109723,622,1,19.0,26,26,0,96,67,7,0,3,2,16,21,0,1,1,0.0,0.0,0.0,0.0
E5603474,550.41,89552,692,1,10.0,44,53,0,33,57,7,0,15,4,28,20,6,25,1,0.0,0.0,0.0,0.0
C5599448,1960.0,269447,1899,1,1.0,54,31,4,94,72,13,0,2,1,16,18,5,7,1,0.0,0.0,0.0,1.0
E5602552,524.24,64004,732,1,20.0,29,67,0,33,17,0,0,23,3,18,17,4,2,1,0.0,0.0,0.0,0.0
C5569460,431.13,130890,569,1,7.0,39,52,0,13,25,3,0,8,0,23,19,1,1,1,0.0,0.0,0.0,0.0
C5587979,304.21,111687,499,1,11.0,38,41,4,91,73,9,0,3,2,20,26,0,11,0,0.0,0.0,0.0,0.0
C5582612,429.48,94274,598,2,7.0,43,16,1,90,49,10,0,3,2,19,21,0,8,0,0.0,0.0,0.0,0.0
C5582947,2800.0,69789,5000,4,0.5,34,20,0,94,63,9,0,9,3,27,27,0,6,1,0.0,0.0,0.0,0.0
C5525375,405.62,109357,450,1,11.0,24,72,0,29,49,2,0,9,4,28,26,3,19,0,0.0,0.0,0.0,0.0
C5600987,486.75,69903,625,1,1.0,42,52,0,36,46,7,0,18,2,22,22,21,29,1,0.0,0.0,0.0,0.0
E5607925,869.868,78505,3285,2,40.5,23,72,0,98,23,0,0,23,3,21,17,9,4,0,0.0,0.0,0.0,0.0
E5603003,938.56,79188,1106,2,30.0,47,49,1,26,59,3,0,22,5,20,21,1,13,1,0.0,0.0,0.0,0.0
W5592655,483.52,58173,979,1,31.0,37,61,0,5,30,0,0,25,5,19,23,0,0,1,0.0,0.0,1.0,0.0
C5593317,1045.7,198361,1002,1,24.0,61,26,5,93,74,9,0,2,2,19,18,2,4,0,0.0,0.0,0.0,1.0
E5596219,905.79,58416,1299,1,44.0,59,37,0,28,50,8,0,21,5,24,20,5,21,0,0.0,0.0,0.0,0.0
W5498623,581.82,154719,733,1,11.0,26,70,1,33,56,16,0,6,4,30,24,0,0,1,0.0,0.0,1.0,0.0
C5585703,805.57,118306,955,1,10.0,43,46,0,13,25,3,0,9,0,25,20,1,1,1,0.0,0.0,0.0,0.0
W5575916,932.7,100748,1143,1,11.0,38,52,0,3,55,18,0,9,6,20,21,0,20,1,0.0,0.0,0.0,0.0
C5571527,478.11,67850,516,1,3.0,47,45,0,50,24,0,0,10,5,21,21,0,0,0,0.0,0.0,0.0,0.0
E5604237,1223.6000000000001,111253,1750,1,10.5,41,37,1,89,51,1,0,22,1,17,25,14,34,0,1.0,0.0,0.0,0.0
W5589959,1480.0,125745,1594,2,45.0,26,65,0,10,52,12,0,9,4,20,16,3,0,0,0.0,0.0,1.0,0.0
W5588335,435.0,58173,998,1,31.0,37,61,0,3,30,0,0,25,5,19,23,0,0,1,0.0,0.0,1.0,0.0
C5600647,431.63,85765,596,1,6.0,42,54,0,67,55,12,0,20,7,19,25,0,30,1,0.0,0.0,0.0,0.0
C5587514,1395.61,91590,1447,2,40.0,27,67,0,11,51,8,0,10,8,21,20,0,0,0,0.0,0.0,0.0,0.0
W5604890,525.28,99488,681,1,11.0,36,59,0,25,46,46,0,16,3,19,25,5,19,1,0.0,0.0,0.0,0.0
W5606585,503.52,73696,1099,1,4.0,51,42,0,65,41,10,0,17,5,23,24,2,14,0,0.0,0.0,0.0,0.0
